issue_id,item_id,item_type,affected_rids,issue_summary,current_status,required_action,required_source_tier,confidence_after_repair,next_prompt,status,notes
ISSUE-001,SCORE-001,score_evidence,RID-001;RID-002;RID-003;RID-008;RID-033,OCP/Deschutes over-tiered as Tier 1,REPAIRED,Re-tiered OCP to Tier 2 industry-consortium/product-spec,Tier 2/industry-consortium,medium,02e,CLEARED_WITH_WEAKNESS,OCP Diablo/Deschutes specs + OCP vendor listings; pain corroborated
ISSUE-002,SCORE-002,score_evidence,RID-002;RID-009;RID-029;RID-030;RID-024,arXiv-bundle + NVIDIA -30% over-credited,REPAIRED,Label arXiv preprint + NVIDIA company-claim,Tier 2/3 + company-claim,medium,02e,CLEARED_WITH_WEAKNESS,arXiv:2508.14318/2508.16457 preprints; NVIDIA blog; NERC corroborates oscillation pain
ISSUE-003,SCORE-004,score_evidence,RID-053,Humanoid actuator BOM figure,REPAIRED,Deleted MS 56%; kept McKinsey 40-60%,Tier 2,high,02e,CLEARED,McKinsey 40-60% + BofA 40-50%; 56% was China-company-share misattribution in MS Humanoid 100
ISSUE-004,SCORE-010,citation_fix,RID-078;RID-080,Author correction,REPAIRED,Corrected first author to Djassemi et al.,Tier 1,high,02e,CLEARED,ACS Sensors 2026 11(2):1413-1424 DOI 10.1021/acssensors.5c03699; Wang is senior author
ISSUE-005,SCORE-015,citation_fix,RID-077;RID-081;RID-088,Awad year,REPAIRED,Corrected Awad year to 2024,Tier 1,medium,02e,CLEARED_WITH_WEAKNESS,Awad 2024 38(10):6193-6202; Servais 2025 39(2):1217-1226; preclinical
ISSUE-006,PROJECT-DESCHUTES,spec_verification,RID-033;RID-008,Deschutes 2MW/500GPM/80-90psi/3C need support,VERIFIED,Confirmed via OCP Deschutes 5.0 spec + vendor pages; label OCP/product-spec,Tier 2 industry-consortium,high,02e,CLEARED,OCP Deschutes 5.0 spec + OCP vendor pages + ARPA-E Google deck
ISSUE-007,CFS-DOE,fusion_claim,RID-102;RID-104,CFS $8M/largest may be company-supported only,REPAIRED,$8M=DOE-validated milestone; largest=company-supported,Tier 1 + company-claim,medium,02e,CLEARED_WITH_WEAKNESS,cfs.energy/PRNewswire 2025-09-30; no DOE primary for 'largest'; DOE Sec. Wright SPARC visit corroborates milestone
ISSUE-008,DA-VINCI-43,biomed_claim,RID-077;RID-081;RID-088,43% force reduction company-supported/preclinical,REPAIRED,Relabeled company-supported/preclinical,Tier 1 venue (preclinical),medium,02e,CLEARED_WITH_WEAKNESS,Awad 2024 & Servais 2025; tissue-model; Intuitive-funded; no clinical-outcome RCT
ISSUE-009,HBM4-SOURCE,semiconductor_source,RID-041;RID-042,36Kr (Tier 4) citation should be replaced,REPAIRED,Replaced with JEDEC JESD270-4 + Semiconductor Engineering,Tier 1/3,medium,02e,CLEARED,720->775um confirmed; hybrid bonding postponed; RID-042 kill stands
ISSUE-010,FAA-PART-108,policy_trigger,RID-067;RID-068;RID-069;RID-070;RID-071;RID-072;RID-074;RID-112,FAA Part 108 not final,HOLD_SPECULATIVE,Keep all drone RIDs at regulatory-speculation until final FR rule,Tier 1 official,high,02d,HOLD,FR 2026-01644; no final rule as of 2026-06-25
ISSUE-011,BIS-2026-00789,policy_trigger,compute/China-fab RIDs,BIS export-control policy volatile,WATCH,"Track for rescission, tightening, or implementation changes",Tier 1 official,high,02d,WATCH,FR 2026-00789 effective 2026-01-15; affects compute/China-fab/advanced-computing RIDs
ISSUE-012,USTR-SIC-2027,policy_trigger,SiC RIDs,Future Section 301 semiconductor/SiC rate not yet announced,WATCH,Track USTR announcement before June 23 2027,Tier 1 official,high,02d,WATCH,"FR 2025-23912; 0% now, increase 2027-06-23 to a rate announced ~2027-05-24; do not assume rate"
ISSUE-013,NRL-RID-036,procurement_claim,RID-036,NRL executed contract not verified,KILL_STANDS,Keep kill unless USAspending/FPDS/SAM shows executed award,Tier 1 official,medium,02d,KILL_STANDS,SAM.gov sole-source NOI only; USAspending HR001123C0121 is DARPA (unrelated); sole-source notice is not an executed contract
ISSUE-014,PLACEHOLDER-RIDS,placeholder_evidence,RID-111;RID-016;RID-100;RID-015;RID-026;RID-020;RID-040;RID-017;RID-032;RID-012;RID-022;RID-097;RID-082;RID-101;RID-094;RID-099,16 RIDs lack direct Tier 1/2 support,HOLD,Find at least one direct Tier 1/2 citation per RID before deep dive,Tier 1/2,low,02c,HOLD,Unsupported until repaired; TAM/market-size cannot satisfy gate; ineligible for deep dive
ISSUE-015,RID-087-091-PAIN,customer_pain_evidence,RID-087;RID-091,Customer pain is policy-context-only; forced substitution is not direct buyer pain,REPAIRED,Confirmed context-only; find buyer/procurement/budget evidence or keep policy-context-only with score cap,Tier 1/2 preferred,medium,02e,NEEDS_MORE_SOURCE,CELEX:52025DC0005 = non-binding EU report on China Document 551 (25-100%; 100% for 137/178); geography=China; no direct buyer evidence
